Rank|Name|Sport|Wikipedia Page|Gender|Total Pay|Salary/Winnings|Endorsements|Country|Year|Date|Home|Winnings
70|Cole Hamels|Baseball|http://en.wikipedia.org/wiki/Cole_Hamels|Male|$20,750,000|$20,700,000|$50,000|United States|1982|22/01/1982|Queen City, Texas, United States|193
70|Cole Hamels|Baseball|http://en.wikipedia.org/wiki/Cole_Hamels|Male|$20,750,000|$20,700,000|$50,000|United States|1983|27/12/1983|San Diego, California, United States|193
70|Cole Hamels|Baseball|http://en.wikipedia.org/wiki/Cole_Hamels|Male|$20,700,000|$20,500,000|$200,000|United States|1983|20/02/1983|Manakin-Sabot, Virginia|196
70|Cole Hamels|Baseball|http://en.wikipedia.org/wiki/Cole_Hamels|Male|$20,700,000|$20,500,000|$200,000|United States|1982|22/01/1982|Queen City, Texas, United States|193
70|Cole Hamels|Baseball|http://en.wikipedia.org/wiki/Cole_Hamels|Male|$20,700,000|$20,500,000|$200,000|United States|1983|27/12/1983|San Diego, California, United States|193
40|Darrelle Revis|Football|http://en.wikipedia.org/wiki/Darrelle_Revis|Male|$23,800,000|$23,000,000|$800,000|United States|1985|14/07/1985|Aliquippa, Pennsylvania, United States|180
80|David Ortiz|Baseball|http://en.wikipedia.org/wiki/David_Ortiz|Male|$19,800,000|$14,800,000|$5,000,000|Dominican Republic|1975|18/11/1975|Santo Domingo, Dominican Republic|195
35|Derek Jeter|Baseball|http://en.wikipedia.org/wiki/Derek_Jeter|Male|$24,300,000|$4,300,000|$20,000,000|Northern Ireland|1989|04/05/1989|County Down, Northern Ireland, United Kingdom|175
35|Derek Jeter|Baseball|http://en.wikipedia.org/wiki/Derek_Jeter|Male|$24,300,000|$4,300,000|$20,000,000|United States|1974|26/06/1974|Pequannock Township, New Jersey|190
35|Derek Jeter|Baseball|http://en.wikipedia.org/wiki/Derek_Jeter|Male|$24,300,000|$15,300,000|$9,000,000|Northern Ireland|1989|04/05/1989|County Down, Northern Ireland, United Kingdom|175
35|Derek Jeter|Baseball|http://en.wikipedia.org/wiki/Derek_Jeter|Male|$24,300,000|$15,300,000|$9,000,000|United States|1974|26/06/1974|Pequannock Township, New Jersey|190
79|Deron Williams|Basketball|http://en.wikipedia.org/wiki/Deron_Williams|Male|$20,000,000|$18,500,000|$1,500,000|United States|1984|26/06/1984|Parkersburg, West Virginia|191
